outcome,disease_event_wave_2,disease_event_wave_3,disease_event_wave_4,death_before_disease_wave_2,death_before_disease_wave_3,death_before_disease_wave_4
incident_chronic_lung_disease,139,451,740,198,282,419
incident_asthma,35,187,240,230,333,490
