id,label,n,events,C,C_se,C_lo,C_hi,C_ci
M0,Base (M2 socioeconomic),6389,890,0.7747170299376083,0.012023071854750541,0.7511518091022972,0.7982822507729194,0.775 (0.751-0.798)
M1,Base + raw PEF (per SD),6389,890,0.7888464794869463,0.011887505385276177,0.765546968931805,0.8121459900420877,0.789 (0.766-0.812)
M2,Base + GLI FEV1 z,6389,890,0.7851068966087895,0.011977960475127466,0.7616300940775397,0.8085836991400394,0.785 (0.762-0.809)
M3,Base + residualized PEF marker,6389,890,0.7883998657341518,0.011850251468893437,0.7651733728551207,0.8116263586131829,0.788 (0.765-0.812)
M4,Base + GLI FEV1 z + PEF marker,6389,890,0.7886002085180495,0.011872508274350642,0.7653300923003222,0.8118703247357767,0.789 (0.765-0.812)
M5,Base + full GLI panel,6389,890,0.7862025990156293,0.011927894772860539,0.7628239252608227,0.8095812727704359,0.786 (0.763-0.810)
M6,Base + full GLI panel + PEF marker,6389,890,0.7905137476512327,0.011832964527287007,0.7673211371777502,0.8137063581247153,0.791 (0.767-0.814)
