analysis_set,n_rows,unique_psu_community,unique_county_pseudo,min_weight,median_weight,mean_weight,p99_weight,max_weight,kish_effective_n
base_after_core_filters,12569,434,150,10408.8486328125,28006.515625,38874.75252558971,182338.40749999997,3378585.75,3236.9555202376146
lung_time_to_event,10997,431,150,10408.8486328125,27974.8125,38210.548206861626,179324.6393749996,3378585.75,3052.491409808828
asthma_time_to_event,11656,431,150,10408.8486328125,27923.4560546875,38073.06179958331,173494.1039062509,3378585.75,3292.402120372964
death_time_to_event,12569,434,150,10408.8486328125,28006.515625,38874.75252558971,182338.40749999997,3378585.75,3236.9555202376146
lung_person_period,30685,431,150,10408.8486328125,28018.822265625,38190.75698736251,179991.58749999997,3378585.75,8338.43914401153
asthma_person_period,32865,431,150,10408.8486328125,27950.154296875,37967.40246450929,174191.375,3378585.75,9204.979364346491
