pef_rule,rule_label,analysis_position,outcome,model,design_type,estimand,n_obs,events,event_rate,term,effect_ci,p_formatted
range_50_800_any_quality,"Range sensitivity: 50-800 L/min, any quality",extreme-value sensitivity,death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,12390,1154,9.3%,resp_vulnerability_z,"1.22 (1.11, 1.34)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10522,1259,12.0%,resp_vulnerability_z,"1.21 (1.07, 1.36)",0.002
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10519,1258,12.0%,resp_vulnerability_z,"1.17 (1.04, 1.32)",0.010
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_psu,survey_HR,10522,2106,20.0%,resp_vulnerability_z,"1.25 (1.14, 1.37)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_asthma,svycox_cause_specific,public_psu,survey_HR,11128,436,3.9%,resp_vulnerability_z,"1.21 (0.89, 1.64)",0.215
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11128,1410,12.7%,resp_vulnerability_z,"1.30 (1.13, 1.49)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,death_w2_w4,svycox_death,public_psu,survey_HR,11977,1109,9.3%,resp_vulnerability_z,"1.32 (1.20, 1.44)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,11973,1108,9.3%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10522,1259,12.0%,resp_vulnerability_z,"1.21 (1.07, 1.35)",0.002
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10519,1258,12.0%,resp_vulnerability_z,"1.17 (1.04, 1.32)",0.011
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10522,2106,20.0%,resp_vulnerability_z,"1.25 (1.15, 1.37)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_asthma,svycox_cause_specific,public_county_community,survey_HR,11128,436,3.9%,resp_vulnerability_z,"1.21 (0.91, 1.61)",0.187
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,incident_asthma,svycox_composite_disease_or_death,public_county_community,survey_HR,11128,1410,12.7%,resp_vulnerability_z,"1.30 (1.15, 1.46)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,death_w2_w4,svycox_death,public_county_community,survey_HR,11977,1109,9.3%,resp_vulnerability_z,"1.32 (1.20, 1.45)",<0.001
full_effort_30_999,Full effort: 30-999 L/min and full effort,effort sensitivity,death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,11973,1108,9.3%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10522,1259,12.0%,resp_vulnerability_z,"1.21 (1.07, 1.36)",0.002
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10519,1258,12.0%,resp_vulnerability_z,"1.17 (1.04, 1.32)",0.010
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_psu,survey_HR,10522,2106,20.0%,resp_vulnerability_z,"1.25 (1.14, 1.37)",<0.001
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,incident_asthma,svycox_cause_specific,public_psu,survey_HR,11128,436,3.9%,resp_vulnerability_z,"1.21 (0.89, 1.64)",0.215
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11128,1410,12.7%,resp_vulnerability_z,"1.30 (1.13, 1.49)",<0.001
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,death_w2_w4,svycox_death,public_psu,survey_HR,11977,1109,9.3%,resp_vulnerability_z,"1.32 (1.20, 1.44)",<0.001
complete_full_effort_30_999,Complete and full effort: 30-999 L/min,quality sensitivity,death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,11973,1108,9.3%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
