outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,factor(interval)3,1.8398189910439273,0.12252235172045776,15.016190639578864,5.751967640391816e-51,<0.001,6.295398634353585,4.951423849945026,8.004171156921057
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,factor(interval)4,1.1850559648089176,0.14549447058030876,8.145024069177948,3.7920647296585475e-16,<0.001,3.2708698699510337,2.459324705921396,4.35021438218148
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,resp_vulnerability_z,0.2861926303164874,0.03631583344511517,7.880657089944415,3.256639089209955e-15,<0.001,1.331348888710857,1.2398787551903523,1.4295670895655541
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,age_decade,1.0125178429860482,0.04498344300751773,22.508678200039824,3.412949364892722e-112,<0.001,2.7525227174983895,2.52023032130805,3.0062257589268366
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,sexmale,0.3093131043745829,0.10538012938711325,2.9352127974556113,0.0033331901454447034,0.003,1.3624889049614992,1.108234325170044,1.675075364461707
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,smoke_everyes,0.3157282185585055,0.1136290014323972,2.7785883408149625,0.005459566562904987,0.005,1.371257522631221,1.0974786096961913,1.7133337969049245
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,bmi_w1,-0.007715658000838858,0.025932856867122926,-0.2975244123843752,0.766066172975745,0.766,0.9923140312818333,0.9431366872770596,1.0440555965665002
death_w2_w5,svycox_death_plus_frailty,public_psu,survey_HR,12562,1680,0.1337366661359656,resp_vulnerability_z,0.21369371309045826,0.034740478954224496,6.15114470275525,7.692569270677468e-10,<0.001,1.2382433389811265,1.1567361486207814,1.3254937769164339
death_w2_w5,svycox_death_plus_frailty,public_psu,survey_HR,12562,1680,0.1337366661359656,frailty_proxy_count_w1,0.3134574105220155,0.029721897344472885,10.546345910864481,5.281121556851158e-26,<0.001,1.368147192846221,1.2907229551330521,1.450215736730304
death_w2_w5,svycox_death_plus_frailty,public_psu,survey_HR,12562,1680,0.1337366661359656,age_decade,0.8782485915219486,0.04146979613299949,21.178030118722585,1.5226791063216227e-99,<0.001,2.4066809317089546,2.2188028442867065,2.6104676771826982
death_w2_w5,svycox_death_plus_frailty,public_psu,survey_HR,12562,1680,0.1337366661359656,sexmale,0.44745167161490995,0.11021597395605406,4.059771515454923,4.912075892828025e-5,<0.001,1.5643206990004137,1.2603990317107534,1.9415273954944792
death_w2_w5,svycox_death_plus_frailty,public_psu,survey_HR,12562,1680,0.1337366661359656,smoke_everyes,0.31879670576522495,0.11243807876825333,2.8353090808523898,0.004578136966324659,0.005,1.3754716710201764,1.1034239986849386,1.7145923235617773
death_w2_w5,svycox_death_plus_frailty,public_psu,survey_HR,12562,1680,0.1337366661359656,bmi_w1,-0.0034544701909813634,0.015560077584616737,-0.2220085454070344,0.8243072310513873,0.824,0.9965514896265231,0.9666176863458306,1.02741227013048
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_county_community,survey_HR,11066,1647,0.14883426712452558,resp_vulnerability_z,0.18399521245676595,0.05518600312448691,3.334092016805695,8.557834200787731e-4,<0.001,1.2020100684073558,1.0787798633603567,1.3393169947129653
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_county_community,survey_HR,11066,1647,0.14883426712452558,age_decade,0.21302241345070178,0.047796548992201676,4.456857617177713,8.316980307740636e-6,<0.001,1.237412385614291,1.126754275841115,1.3589381863482408
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_county_community,survey_HR,11066,1647,0.14883426712452558,sexmale,0.09387972068454807,0.12798996291673684,0.7334928344781302,0.46325789660606204,0.463,1.0984276198491276,0.8547206345685392,1.4116229177694761
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_county_community,survey_HR,11066,1647,0.14883426712452558,smoke_everyes,0.3403537768676108,0.1078979641777445,3.1544040655570926,0.0016082624432912813,0.002,1.4054447164519757,1.1375465192824514,1.7364343501738726
