outcome,n,disease_events,deaths,competing_deaths_before_disease,composite_events,unique_psu_community,unique_county_pseudo,weighted_n
incident_chronic_lung_disease_w2_w5,11066,1647,NA,1232,2879,432,150,425482197.74609375
death_w2_w5,12569,NA,1681,NA,NA,434,150,488616764.4941406
