outcome,model,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_asthma,cox_cause_specific_death_censored,HR,11656,462,0.03963623884694578,resp_vulnerability_z,0.3943585904466065,0.05232568509796688,7.536615903036295,4.823242877189422e-14,<0.001,1.4834323979971193,1.3388355553847722,1.6436459807007848
incident_asthma,cox_cause_specific_death_censored,HR,11656,462,0.03963623884694578,age_decade,0.3003548940215195,0.04440732713274536,6.763633693234419,1.3457307505597991e-11,<0.001,1.3503379494139651,1.2377763861182933,1.4731356956532295
incident_asthma,cox_cause_specific_death_censored,HR,11656,462,0.03963623884694578,sexmale,-0.30344861751112345,0.1314207969163145,-2.308984762163267,0.02094442682249725,0.021,0.7382678221954047,0.5706190930151862,0.9551719946998694
incident_asthma,cox_cause_specific_death_censored,HR,11656,462,0.03963623884694578,smoke_everyes,0.5848395545354552,0.13185004983331172,4.435641513028055,9.1798503706749e-6,<0.001,1.7947030105801194,1.385988296796322,2.32394379060091
incident_asthma,cox_cause_specific_death_censored,HR,11656,462,0.03963623884694578,bmi_w1,0.0020666304894114648,8.006763983355806e-4,2.58110579218709,0.009848439652794853,0.010,1.002068767442045,1.000497428425181,1.0036425743376218
incident_asthma,cox_cause_specific_plus_frailty,HR,11650,461,0.039570815450643775,resp_vulnerability_z,0.3675927562524512,0.05363813820610336,6.853197529712611,7.22172562278063e-12,<0.001,1.444253755882747,1.3001270693811335,1.6043577281829111
incident_asthma,cox_cause_specific_plus_frailty,HR,11650,461,0.039570815450643775,frailty_proxy_count_w1,0.1667819572312777,0.04318635706579383,3.861913080030984,1.1250259526369087e-4,<0.001,1.1814966204262267,1.085604198939349,1.2858593080631442
incident_asthma,cox_cause_specific_plus_frailty,HR,11650,461,0.039570815450643775,age_decade,0.23530225696691529,0.0491996245705054,4.782602693029008,1.7303993363146026e-6,<0.001,1.265291154007149,1.1489758642929788,1.3933814923030545
incident_asthma,cox_cause_specific_plus_frailty,HR,11650,461,0.039570815450643775,sexmale,-0.2220113791824595,0.13177760066220232,-1.6847429158431997,0.09203818268176606,0.092,0.8009062506244472,0.6186005828766145,1.0369385998739886
incident_asthma,cox_cause_specific_plus_frailty,HR,11650,461,0.039570815450643775,smoke_everyes,0.5661754089023608,0.13048555988445243,4.338988999271034,1.4313968675734652e-5,<0.001,1.7615170691994977,1.3640029354778755,2.2748795507497044
incident_asthma,cox_cause_specific_plus_frailty,HR,11650,461,0.039570815450643775,bmi_w1,0.0022103035816792432,7.983396458041339e-4,2.7686256010158403,0.005629328299601858,0.006,1.002212748103354,1.0006457662932349,1.0037821837608547
incident_asthma,cox_composite_disease_or_death,HR,11656,1515,0.12997597803706246,resp_vulnerability_z,0.3370499270450631,0.02790203075734485,12.079763296667538,1.351081053845654e-33,<0.001,1.4008090002467393,1.3262586681524549,1.4795498814011931
incident_asthma,cox_composite_disease_or_death,HR,11656,1515,0.12997597803706246,age_decade,0.775533756483652,0.02684014431161276,28.8945449577224,1.3980375406599468e-183,<0.001,2.1717510040561994,2.060455497463988,2.2890581375934547
incident_asthma,cox_composite_disease_or_death,HR,11656,1515,0.12997597803706246,sexmale,0.0886884564248841,0.06955021797994845,1.2751715091741807,0.20224854321315838,0.202,1.0927401671121357,0.9534865396555057,1.2523313367923152
incident_asthma,cox_composite_disease_or_death,HR,11656,1515,0.12997597803706246,smoke_everyes,0.4311910614914327,0.06882478040247939,6.265055390948973,3.7269290487568695e-10,<0.001,1.5390895826179147,1.3448661507121247,1.761362453853625
incident_asthma,cox_composite_disease_or_death,HR,11656,1515,0.12997597803706246,bmi_w1,8.591315622252959e-4,7.855482285704196e-4,1.0936713125670043,0.2740991603959907,0.274,1.0008595007214571,0.9993196885510693,1.0024016855274962
incident_asthma,cox_raw_pef_sensitivity,HR,11656,462,0.03963623884694578,pef_per_100_l_min,-0.37340929087664393,0.049504988030746516,-7.542861956551271,4.5976777358022026e-14,<0.001,0.6883834261214852,0.6247279103864188,0.7585250050148166
incident_asthma,cox_raw_pef_sensitivity,HR,11656,462,0.03963623884694578,age_decade,0.10442104187127857,0.051635429333869866,2.022275077759146,0.04314794182724775,0.043,1.1100677415342046,1.0032207759658407,1.2282943299380071
incident_asthma,cox_raw_pef_sensitivity,HR,11656,462,0.03963623884694578,sexmale,0.19656812891676956,0.1535693446385962,1.2799958831586142,0.20054658378465626,0.201,1.2172182458139285,0.9008398477889937,1.6447099465890644
incident_asthma,cox_raw_pef_sensitivity,HR,11656,462,0.03963623884694578,smoke_everyes,0.591687735138278,0.13283755767764427,4.454220218156385,8.419864535938812e-6,<0.001,1.8070356407669128,1.3928139456445188,2.34444651937402
incident_asthma,cox_raw_pef_sensitivity,HR,11656,462,0.03963623884694578,bmi_w1,1.1492700678821618e-4,0.0010413303561663013,0.11036555892918024,0.9121194662244334,0.912,1.0001149336111497,0.9980757732114138,1.0021582602027193
incident_asthma,cox_raw_pef_sensitivity,HR,11656,462,0.03963623884694578,height_m_w1,-1.2362880172596538,0.6584722484619938,-1.8775096750808788,0.06044827255471416,0.060,0.29046040331642903,0.07990685587110265,1.0558198664559524
incident_asthma,cox_weighted_cause_specific,HR,11656,462,0.03963623884694578,resp_vulnerability_z,0.19756276992791214,0.15021679229763418,1.3151843206481757,0.18844796336360295,0.188,1.2184295433039436,0.9076811277281371,1.6355639735637488
incident_asthma,cox_weighted_cause_specific,HR,11656,462,0.03963623884694578,age_decade,0.3541605752330028,0.06792720775902215,5.2138250182374515,1.849859730557006e-7,<0.001,1.4249839852451454,1.2473524287078337,1.6279114959584189
incident_asthma,cox_weighted_cause_specific,HR,11656,462,0.03963623884694578,sexmale,-0.19660518909861793,0.17738194530927454,-1.1083720429146646,0.2677011736678631,0.268,0.8215149123370373,0.580263016269191,1.1630704219809211
incident_asthma,cox_weighted_cause_specific,HR,11656,462,0.03963623884694578,smoke_everyes,0.7240866736102215,0.17623921741280943,4.108544535318581,3.981604317676134e-5,<0.001,2.0628461874662825,1.4603232385474934,2.913967456531565
incident_asthma,cox_weighted_cause_specific,HR,11656,462,0.03963623884694578,bmi_w1,-5.655885832662362e-4,0.0012998793797647332,-0.43510851242874765,0.6634836649170989,0.663,0.9994345713318064,0.9968914892875664,1.0019841408085837
death_w2_w4,cox_death,HR,12569,1198,0.0953138674516668,resp_vulnerability_z,0.30624092939144504,0.030310965425956383,10.10330502799491,5.341115720519105e-24,<0.001,1.358309523815148,1.2799633403330404,1.4414512543827016
death_w2_w4,cox_death,HR,12569,1198,0.0953138674516668,age_decade,0.9435475842958693,0.030897579871837916,30.537912296356925,8.1830963878779e-205,<0.001,2.569079296409689,2.4181150404272334,2.7294683341760217
death_w2_w4,cox_death,HR,12569,1198,0.0953138674516668,sexmale,0.2516687159194817,0.07845810813935988,3.2076826970191457,0.0013380904050911372,0.001,1.28616987909324,1.1028423745794425,1.4999722499033865
death_w2_w4,cox_death,HR,12569,1198,0.0953138674516668,smoke_everyes,0.3716185200013443,0.07714876456002216,4.816908243711707,1.4579969207526882e-6,<0.001,1.4500796993651095,1.246583914066004,1.6867946961165996
death_w2_w4,cox_death,HR,12569,1198,0.0953138674516668,bmi_w1,-9.644771367861267e-4,0.004650581994801371,-0.20738848124046896,0.8357064776944838,0.836,0.9990359878217949,0.9899710112512619,1.008183970661492
