analysis_id,outcome,outcome_label,exposure,quality_scope,model_type,population,weight_variable,psu_variable,strata_variable,n,events,estimate_log_or,se_log_or,or,conf_low,conf_high,p_value,p_value_formatted,warnings_n,or_ci
nhanes_v0_3_obstruction_abc,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",resp_vulnerability_z,main A/B/C,survey_quasibinomial,NHANES 2007-2012 adults age >=45 with valid exposure/outcome/covariates,wtmec6yr,psu,strata,6727,1422,1.1881322603587137,0.05763730152700737,3.280947525351588,2.9304770491915004,3.6733325268937334,1.4176653076625876e-22,<0.001,0,3.28 (2.93-3.67)
nhanes_v0_3_obstruction_ab_strict,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",resp_vulnerability_z,strict A/B,survey_quasibinomial,NHANES 2007-2012 adults age >=45 with valid exposure/outcome/covariates,wtmec6yr,psu,strata,5984,1244,1.2315028400115835,0.06923618279273985,3.426374962333264,2.9915822119257096,3.9243599375953977,2.5995196524867213e-20,<0.001,0,3.43 (2.99-3.92)
nhanes_v0_3_current_asthma,current_asthma,Current asthma,resp_vulnerability_z,PEF A/B/C exposure,survey_quasibinomial,NHANES 2007-2012 adults age >=45 with valid exposure/outcome/covariates,wtmec6yr,psu,strata,7017,512,0.48947630757311766,0.09155331136640461,1.6314616121080716,1.3634729911406116,1.9521230043256328,4.177313159690474e-6,<0.001,0,1.63 (1.36-1.95)
nhanes_v0_3_emphysema_or_bronchitis,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,resp_vulnerability_z,PEF A/B/C exposure,survey_quasibinomial,NHANES 2007-2012 adults age >=45 with valid exposure/outcome/covariates,wtmec6yr,psu,strata,7026,525,0.5791439747172336,0.07963722891884316,1.784510190896657,1.526622645485962,2.0859618654486325,9.088065247347234e-9,<0.001,0,1.78 (1.53-2.09)
nhanes_v0_3_frailty_proxy_ge2,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,resp_vulnerability_z,PEF A/B/C exposure,survey_quasibinomial,NHANES 2007-2012 adults age >=45 with valid exposure/outcome/covariates,wtmec6yr,psu,strata,4379,1368,0.38906019748161086,0.051387307773894525,1.4755933756646242,1.3342147612555533,1.6319530210086395,3.568528014395647e-9,<0.001,0,1.48 (1.33-1.63)
nhanes_v0_3_obstruction_race_calibrated,obstruction_fixed_ratio_abc,"Spirometric obstruction, race-calibrated exposure",resp_vulnerability_z_race_calibrated,race-calibrated sensitivity,survey_quasibinomial,NHANES 2007-2012 adults age >=45 with valid exposure/outcome/covariates,wtmec6yr,psu,strata,6727,1422,1.1792138729424586,0.056708685702445506,3.251816856604672,2.909749198407967,3.6340976997893475,1.0377269532647411e-22,<0.001,0,3.25 (2.91-3.63)
