id,label,n,events,C,C_se,C_lo,C_hi,C_ci
M0,Base covariates,7035,974,0.7592394881056568,0.011497586897079401,0.7367042177873812,0.7817747584239324,0.759 (0.737-0.782)
M1,Base + raw PEF (per SD),7035,974,0.7838804768764125,0.01117290836304886,0.7619815764848368,0.8057793772679882,0.784 (0.762-0.806)
M2,Base + GLI FEV1 z,7035,974,0.7772231420384816,0.011598232335654126,0.7544906066605995,0.7999556774163638,0.777 (0.754-0.800)
M3,Base + residualized PEF marker,7035,974,0.7824904186485071,0.011084821887442262,0.7607641677491203,0.804216669547894,0.782 (0.761-0.804)
M4,Base + GLI FEV1 z + PEF marker,7035,974,0.7831313171353498,0.011246480636106263,0.7610882150885815,0.8051744191821181,0.783 (0.761-0.805)
M5,Base + full GLI panel,7035,974,0.7788479793091274,0.011522957466600649,0.7562629826745901,0.8014329759436647,0.779 (0.756-0.801)
M6,Base + full GLI panel + PEF marker,7035,974,0.7856997463425615,0.011180886996111894,0.7637852078301821,0.8076142848549408,0.786 (0.764-0.808)
