endpoint,quartile,n_unweighted,weighted_event_rate,ci_low,ci_high,percentage
incident_chronic_lung_disease_w2_w5,Q1,2448,0.11136902739505797,0.08107285393714213,0.1416652008529738,11.136902739505796
incident_chronic_lung_disease_w2_w5,Q2,2820,0.12071666563404845,0.10273929164176776,0.13869403962632915,12.071666563404845
incident_chronic_lung_disease_w2_w5,Q3,2877,0.14555908174898363,0.12631677085932141,0.16480139263864585,14.555908174898363
incident_chronic_lung_disease_w2_w5,Q4,2921,0.177297294863546,0.15806847960934425,0.19652611011774776,17.7297294863546
