contrast,model_a,model_b,C_a,C_b,deltaC,se,lo,hi,z,p
PEF marker vs base,M0,M3,0.7747170299376083,0.7883998657341518,0.013682835796543502,0.00522534365506767,0.003441162232610869,0.023924509360476135,2.618552328758998,0.008830374682146702
GLI FEV1 z vs base,M0,M2,0.7747170299376083,0.7851068966087895,0.010389866671181247,0.005846548513153758,-0.0010693684146001192,0.021849101756962613,1.7770940663206303,0.07555276429214947
Residualized marker vs raw PEF,M1,M3,0.7888464794869463,0.7883998657341518,-4.466137527945335e-4,0.0015873073104352555,-0.003557736081247634,0.002664508575658567,-0.28136564977582545,0.7784299618138177
PEF marker on top of GLI FEV1 z,M2,M4,0.7851068966087895,0.7886002085180495,0.003493311909259944,0.002470300633944711,-0.0013484773332716896,0.008335101151791577,1.4141242006166808,0.15732543864645987
PEF marker on top of FULL GLI panel [DECISIVE],M5,M6,0.7862025990156293,0.7905137476512327,0.004311148635603446,0.002772230647923689,-0.001122423434326985,0.009744720705533876,1.555119029808128,0.11991772356456469
