group,variable,variable_label,type,level,n_unweighted,estimate,se,ci_low,ci_high,display,events_unweighted
Q2,fev1_fvc,FEV1/FVC ratio,continuous,NA,1664,0.7677594868378308,0.0025995148899621884,0.7626645312762294,0.7728544423994322,0.8 (SE 0.0),NA
Q2,resp_vulnerability_z,Respiratory vulnerability z-score,continuous,NA,1664,-0.44903400387697245,0.0045696727081794486,-0.45799039780613976,-0.44007760994780515,-0.4 (SE 0.0),NA
Q2,phq9_score,PHQ-9 score,continuous,NA,1593,2.57577475321338,0.1567752039293427,2.268500999842946,2.883048506583814,2.6 (SE 0.2),NA
Q2,wbc_1000_ul,"White blood cells, 1000/uL",continuous,NA,1621,6.794481193749729,0.07961486753749614,6.63843892074231,6.950523466757149,6.8 (SE 0.1),NA
Q2,hba1c_percent,"HbA1c, percent",continuous,NA,1622,5.746063647743036,0.03284489581943183,5.681688834860979,5.810438460625092,5.7 (SE 0.0),NA
Q2,albumin_g_dl,"Albumin, g/dL",continuous,NA,1594,4.278220358955101,0.009441869785448307,4.259714634228906,4.296726083681297,4.3 (SE 0.0),NA
Q2,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",binary,yes,1641,0.14026431723449934,0.012058869501048218,0.11662936731817634,0.16389926715082231,14.0% (SE 1.2),195
Q2,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",binary,yes,1512,0.14018559654491536,0.012581843632364153,0.11552563616636702,0.1648455569234637,14.0% (SE 1.3),182
Q2,current_asthma,Current asthma,binary,yes,1657,0.0437066590608392,0.007192061693516842,0.029610477166956042,0.05780284095472235,4.4% (SE 0.7),73
Q2,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,binary,yes,1660,0.05870901886602018,0.008874298264619407,0.041315713879299845,0.07610232385274052,5.9% (SE 0.9),88
Q2,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,binary,yes,1026,0.2469195219592753,0.017943476635167325,0.2117509539969114,0.2820880899216392,24.7% (SE 1.8),275
Q2,depressive_symptoms_phq9_ge10,PHQ-9 >=10,binary,yes,1593,0.05324141066901083,0.009161285492837293,0.03528562105096046,0.0711972002870612,5.3% (SE 0.9),111
Q2,low_physical_activity,Low physical activity,binary,yes,1664,0.21730974031023215,0.014084109379064898,0.18970539317294216,0.24491408744752213,21.7% (SE 1.4),449
Q2,sex,Sex,categorical,female,1664,0.5796899385684942,0.014837513179298824,0.5506089471169301,0.6087709300200582,58.0% (SE 1.5),945
Q2,sex,Sex,categorical,male,1664,0.42031006143150496,0.014837513179298824,0.3912290699799409,0.449391052883069,42.0% (SE 1.5),719
Q2,race_ethnicity,Race/ethnicity,categorical,Mexican American,1664,0.05660855243769782,0.007918717462773924,0.04108815140691254,0.07212895346848311,5.7% (SE 0.8),268
Q2,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic Black,1664,0.0825235779904812,0.00925078810270471,0.06439236648056836,0.10065478950039404,8.3% (SE 0.9),330
Q2,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic White,1664,0.7706294442920338,0.019484702008180862,0.7324401301065041,0.8088187584775636,77.1% (SE 1.9),770
Q2,race_ethnicity,Race/ethnicity,categorical,Other Hispanic,1664,0.03994274499443649,0.005097418865049502,0.029951987604824426,0.04993350238404855,4.0% (SE 0.5),195
Q2,race_ethnicity,Race/ethnicity,categorical,Other/Multi-Racial,1664,0.050295680285349996,0.009253791788074403,0.03215858166029166,0.06843277891040833,5.0% (SE 0.9),101
Q2,education,Education,categorical,<9th grade,1661,0.04670335667777934,0.00715587626518131,0.03267809692019898,0.0607286164353597,4.7% (SE 0.7),179
Q2,education,Education,categorical,9-11th grade,1661,0.0945031171566239,0.010687087034391848,0.07355681146957091,0.1154494228436769,9.5% (SE 1.1),238
Q2,education,Education,categorical,College graduate+,1661,0.3416989080122475,0.01834105795062429,0.3057510949906619,0.3776467210338331,34.2% (SE 1.8),423
Q2,education,Education,categorical,High school/GED,1661,0.2294851861260955,0.01373758923802953,0.20256000598515259,0.2564103662670384,22.9% (SE 1.4),370
Q2,education,Education,categorical,Some college/AA,1661,0.28760943202725225,0.01578443106260545,0.2566725156280903,0.3185463484264142,28.8% (SE 1.6),451
Q2,smoking_status,Smoking status,categorical,current,1662,0.12403360699385318,0.011470002795959567,0.10155281461119872,0.14651439937650765,12.4% (SE 1.1),225
Q2,smoking_status,Smoking status,categorical,former,1662,0.3116085534134736,0.022267823451698435,0.2679644214340483,0.3552526853928989,31.2% (SE 2.2),504
Q2,smoking_status,Smoking status,categorical,never,1662,0.564357839592672,0.021440798112417708,0.522334647492539,0.6063810316928051,56.4% (SE 2.1),933
Q2,cycle,NHANES cycle,categorical,2007-2008,1664,0.3061324385867128,0.02239001275485683,0.262248819973801,0.3500160571996246,30.6% (SE 2.2),552
Q2,cycle,NHANES cycle,categorical,2009-2010,1664,0.36600042043498937,0.024249100192548417,0.3184730574000912,0.41352778346988756,36.6% (SE 2.4),633
Q2,cycle,NHANES cycle,categorical,2011-2012,1664,0.3278671409782963,0.024907080075543462,0.27905016107017594,0.3766841208864166,32.8% (SE 2.5),479
Q3,age_years,"Age, years",continuous,NA,1709,57.41523899708088,0.35921347707381474,56.7111935192548,58.119284474906955,57.4 (SE 0.4),NA
Q3,bmi,"Body mass index, kg/m2",continuous,NA,1706,29.524323387208614,0.24496341295589416,29.04420392028505,30.00444285413218,29.5 (SE 0.2),NA
Q3,height_cm,"Height, cm",continuous,NA,1709,167.3816442875798,0.3236240329128453,166.74735283853903,168.01593573662058,167.4 (SE 0.3),NA
Q3,pef_l_min,"Peak expiratory flow, L/min",continuous,NA,1709,427.7645759378144,2.7204705907349265,422.43255155897356,433.09660031665527,427.8 (SE 2.7),NA
Q3,fev1_fvc,FEV1/FVC ratio,continuous,NA,1709,0.7491603502869987,0.0026355993517151993,0.7439946704799598,0.7543260300940375,0.7 (SE 0.0),NA
Q3,resp_vulnerability_z,Respiratory vulnerability z-score,continuous,NA,1709,0.12302750251016185,0.006250322416783257,0.11077709568150332,0.1352779093388204,0.1 (SE 0.0),NA
Q3,phq9_score,PHQ-9 score,continuous,NA,1576,3.073798348853589,0.163671670613472,2.753007769161681,3.394588928545497,3.1 (SE 0.2),NA
