contrast,model_a,model_b,C_a,C_b,deltaC,se,lo,hi,z,p
PEF marker vs base,M0,M3,0.7592394881056568,0.7824904186485071,0.023250930542850323,0.006810164669385262,0.00990300779085521,0.03659885329484544,3.4141510039211918,6.398110429406222e-4
GLI FEV1 z vs base,M0,M2,0.7592394881056568,0.7772231420384816,0.01798365393282486,0.007349406801279211,0.0035788166023176093,0.03238849126333211,2.446953124120806,0.014406957510341075
Residualized marker vs raw PEF,M1,M3,0.7838804768764125,0.7824904186485071,-0.0013900582279053886,0.001966907554963007,-0.005245197035632882,0.002465080579822105,-0.706722705089987,0.47973881683654906
PEF marker on top of GLI FEV1 z,M2,M4,0.7772231420384816,0.7831313171353498,0.00590817509686814,0.0033076733443274694,-5.748646580136995e-4,0.01239121485174998,1.7862027116433459,0.07406644220476173
PEF marker on top of FULL GLI panel [DECISIVE],M5,M6,0.7788479793091274,0.7856997463425615,0.006851767033434042,0.003640131041756351,-2.828898084084059e-4,0.01398642387527649,1.8822858174160915,0.05979721910391728
