analysis_id,n,events,hazard_ratio,hr_ci_low,hr_ci_high
v44_s3_charls_pc_e0_a1_who_component_no_later_aux,12555,1735,1.42472896797926,1.3120324931905,1.54710545869425
v44_s3_charls_pc_e0_a1_pcornet_block_no_later_aux,12555,1735,1.430778283995,1.31769499569693,1.55356626885339
